STATUS;CODMTC;DATA_INCLUSAO;USUINC;PC;FILPC;PV;FILPV;TIPCAR;CODPRODUTO;SITUAC;CODTOMADOR;TOMADOR;LINHA;PONTOINI;PONTOFIM;DATRET;DATENT;CODREM;REMETENTE;CODDES;DESTINATARIO;FM;OBSERV;DATINC;CTE;FILIALCTE;SERIECTE;TOTALFRETE;PRODUTO
;;2024-02-01 15:55:00;geovana.pereira;13;2;;;3;96273,0;D;601;HONDA;BELJGR;PA;PE;2024-02-01;2024-02-01;601;HONDA;;;0.00;;2024-02-01;;;;;MOTOCICLETA HONDA CG 160 START DE 14,9CV E 162,7CC
;;2024-02-01 15:55:00;geovana.pereira;14;2;;;3;96273,0;D;601;HONDA;BELJGR;PA;PE;2024-02-01;2024-02-01;601;HONDA;;;0.00;;2024-02-01;;;;;MOTOCICLETA HONDA CG 160 START DE 14,9CV E 162,7CC
;;2024-02-02 10:10:00;CLEUBER.MARTINS;402;36;9515,0;36,0;3;;D;65;ARAPORA BIO ENERGIA;AROGJA;MG;SP;2024-02-02;2024-02-02;65;ARAPORA BIO ENERGIA;;;0.00;;2024-02-02;12791,0;36,0;1,0;8322.00;
;;2024-02-02 14:54:00;CLEUBER.MARTINS;403;36;9516,0;36,0;3;;D;65;ARAPORA BIO ENERGIA;AROGJA;MG;SP;2024-02-02;2024-02-02;65;ARAPORA BIO ENERGIA;;;0.00;;2024-02-02;12790,0;36,0;1,0;6657.60;
;;2024-02-05 14:19:00;CLEUBER.MARTINS;405;36;9519,0;36,0;3;;D;65;ARAPORA BIO ENERGIA;IMBSAN;GO;SP;2024-02-05;2024-02-05;65;ARAPORA BIO ENERGIA;;;0.00;;2024-02-05;12793,0;36,0;1,0;8044.60;
;;2024-02-08 08:59:00;leticia.dourado;406;36;;;3;49,0;D;60;NESTLÉ;IBAFES;MG;BA;2024-02-22;2024-02-24;60;NESTLÉ;60,0;NESTLÉ;0.00;;2024-02-08;;;;;PRODUTOS ALIMENTICIOS
;;2024-02-05 20:44:00;RAYONE.SOUSA;561;41;565,0;41,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-05;2024-02-05;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2173,0;41,0;1,0;23158.08;GARRAFA VAZIA
;;2024-02-05 20:45:00;RAYONE.SOUSA;562;41;566,0;41,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-06;2024-02-06;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2174,0;41,0;1,0;23158.08;GARRAFA VAZIA
;;2024-02-05 20:45:00;RAYONE.SOUSA;563;41;567,0;41,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-07;2024-02-07;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2176,0;41,0;1,0;23158.08;GARRAFA VAZIA
;;2024-02-05 20:45:00;RAYONE.SOUSA;564;41;568,0;41,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-08;2024-02-08;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2178,0;41,0;1,0;23158.08;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;565;41;139229,0;26,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-09;2024-02-09;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2177,0;41,0;1,0;13508.88;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;566;41;139356,0;26,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-15;2024-02-15;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2180,0;41,0;1,0;11579.04;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;567;41;139405,0;26,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-11;2024-02-11;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2181,0;41,0;1,0;13508.88;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;568;41;139406,0;26,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-12;2024-02-12;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2182,0;41,0;1,0;13508.88;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;569;41;570,0;41,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-13;2024-02-13;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2183,0;41,0;1,0;14473.80;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;570;41;571,0;41,0;3;85300,0;B;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-14;2024-02-14;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;2184,0;41,0;1,0;23158.08;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;571;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-15;2024-02-15;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;572;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-16;2024-02-16;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;573;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-17;2024-02-17;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;574;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-18;2024-02-18;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;575;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-19;2024-02-19;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;576;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-20;2024-02-20;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;577;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-21;2024-02-21;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;578;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-22;2024-02-22;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;579;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-23;2024-02-23;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;580;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-24;2024-02-24;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;581;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-25;2024-02-25;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;582;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESABOI;SE;SP;2024-02-26;2024-02-26;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-05 20:47:00;RAYONE.SOUSA;583;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-02-27;2024-02-27;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-05;;;;;GARRAFA VAZIA
;;2024-02-06 10:28:00;KANNANDA.SANTOS;584;41;569,0;41,0;3;96,0;B;61;ARCELOR MITTAL;NSSJFR;SE;MG;2024-02-07;2024-02-12;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-06;2179,0;41,0;1,0;21678.55;SUCATA
;;2024-02-14 15:14:00;barbara.evangelista;585;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-02-28;2024-02-28;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-14;;;;;GARRAFA VAZIA
;;2024-02-14 15:14:00;barbara.evangelista;586;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-02-29;2024-02-29;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-14;;;;;GARRAFA VAZIA
;;2024-02-14 15:14:00;barbara.evangelista;587;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-03-01;2024-03-01;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-14;;;;;GARRAFA VAZIA
;;2024-02-14 15:14:00;barbara.evangelista;588;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-03-02;2024-03-02;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-14;;;;;GARRAFA VAZIA
;;2024-02-14 15:14:00;barbara.evangelista;589;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-03-03;2024-03-03;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-14;;;;;GARRAFA VAZIA
;;2024-02-14 15:14:00;barbara.evangelista;590;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-03-04;2024-03-04;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-14;;;;;GARRAFA VAZIA
;;2024-02-14 15:14:00;barbara.evangelista;591;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-03-05;2024-03-05;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-14;;;;;GARRAFA VAZIA
;;2024-02-14 15:14:00;barbara.evangelista;592;41;;;3;85300,0;D;225;CERVEJARIA PETROPOLIS;ESAUBA;SE;MG;2024-03-06;2024-03-06;641;VIDRO PORTO;225,0;CERVEJARIA PETROPOLIS;0.00;;2024-02-14;;;;;GARRAFA VAZIA
CANCELADO - CLIENTE;22,0;2024-02-02 11:19:00;leticia.dourado;679;49;;;3;51,0;C;353;Reckitt Benckiser;VIARIO;ES;RJ;2024-02-03;2024-02-05;353;Reckitt Benckiser;;;0.00;;2024-02-02;;;;;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-02 13:22:00;leticia.dourado;680;49;675,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIABNV;ES;PA;2024-02-05;2024-02-15;353;Reckitt Benckiser;;;0.00;;2024-02-02;2885,0;49,0;1,0;28738.00;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-02 15:48:00;leticia.dourado;681;49;669,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIAUDI;ES;MG;2024-02-03;2024-02-07;353;Reckitt Benckiser;40,0;MARTINS;0.00;;2024-02-02;2883,0;49,0;1,0;19173.48;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-02 15:53:00;leticia.dourado;682;49;672,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIARIO;ES;RJ;2024-02-03;2024-02-05;353;Reckitt Benckiser;;;0.00;;2024-02-02;2882,0;49,0;1,0;5659.19;PRODUTO DE HIGIENE E LIMPEZA
DECLINADO - FALTA ATENDIMENTO;21,0;2024-02-02 16:15:00;leticia.dourado;683;49;;;3;51,0;C;353;Reckitt Benckiser;VIAAPP;ES;AL;2024-02-05;2024-02-09;353;Reckitt Benckiser;;;0.00;;2024-02-02;;;;;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-05 10:16:00;leticia.dourado;684;49;139173,0;26,0;3;51,0;B;353;Reckitt Benckiser;VIASUA;ES;RJ;2024-02-07;2024-02-09;353;Reckitt Benckiser;;;0.00;;2024-02-05;2894,0;49,0;1,0;5762.57;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-05 11:43:00;bruno.castro;685;49;674,0;49,0;1;;D;390;LATASA;VIVTAT;ES;SP;2024-02-05;2024-02-05;390;LATASA;;;0.00;;2024-02-05;2884,0;49,0;1,0;4016.00;
;;2024-02-05 17:07:00;leticia.dourado;686;49;680,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIARIO;ES;RJ;2024-02-06;2024-02-08;353;Reckitt Benckiser;;;0.00;;2024-02-05;2891,0;49,0;1,0;5521.07;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-05 17:11:00;leticia.dourado;687;49;679,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIARIO;ES;RJ;2024-02-06;2024-02-08;353;Reckitt Benckiser;;;0.00;;2024-02-05;2890,0;49,0;1,0;6458.44;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-06 12:46:00;Kannanda.santos;688;49;139056,0;26,0;3;29533,0;D;55;VOTORANTIM;VIVIQC;ES;SP;2024-02-06;2024-02-08;61;ARCELOR MITTAL;55,0;VOTORANTIM;0.00;;2024-02-06;;;;;CA50 NUCLEO OCT.6,30 ROLO 2000 KG SOLDAV
;;2024-02-06 16:09:00;leticia.dourado;691;49;682,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIALNH;ES;ES;2024-02-07;2024-02-08;353;Reckitt Benckiser;;;0.00;;2024-02-06;2892,0;49,0;1,0;3454.23;PRODUTO DE HIGIENE E LIMPEZA
