STATUS;CODMTC;DATA_INCLUSAO;USUINC;PC;FILPC;PV;FILPV;TIPCAR;CODPRODUTO;SITUAC;CODTOMADOR;TOMADOR;LINHA;PONTOINI;PONTOFIM;DATRET;DATENT;CODREM;REMETENTE;CODDES;DESTINATARIO;FM;OBSERV;DATINC;CTE;FILIALCTE;SERIECTE;TOTALFRETE;PRODUTO
;;2024-02-01 15:55:00;geovana.pereira;14;2;;;3;96273;D;601;HONDA;BELJGR;PA;PE;2024-02-01;2024-02-01;601;HONDA;;;0.00;;2024-02-01;;;;;MOTOCICLETA HONDA CG 160 START DE 14,9CV E 162,7CC
;;2024-01-19 11:46:00;giselle.magalhaes;34;56;33;56;3;117;B;671;VITERRA;CNPGJA;MT;SP;2024-01-19;2024-01-23;671;VITERRA;;;0.00;;2024-01-19;886;56;1;21768.60;ALGODÃO EM PLUMA
;;2024-01-19 10:21:00;ellorrayne.basilio;298;36;9418;36;3;12;D;65;ARAPORA BIO ENERGIA;AROGJA;MG;SP;2024-01-19;2024-01-24;65;ARAPORA BIO ENERGIA;65;ARAPORA BIO ENERGIA;0.00;;2024-01-19;12732;36;1;9600.00;ACUCAR ENSACADO
;;2024-01-19 10:21:00;ellorrayne.basilio;312;36;9480;36;3;12;B;65;ARAPORA BIO ENERGIA;AROGJA;MG;SP;2024-01-19;2024-01-24;65;ARAPORA BIO ENERGIA;65;ARAPORA BIO ENERGIA;0.00;;2024-01-19;12750;36;1;11700.00;ACUCAR ENSACADO
;;2024-01-19 16:58:00;ellorrayne.basilio;324;36;9431;36;3;12;B;65;ARAPORA BIO ENERGIA;AROGJA;MG;SP;2024-01-19;2024-01-25;65;ARAPORA BIO ENERGIA;;;0.00;;2024-01-19;12757;36;1;9154.20;ACUCAR ENSACADO
;;2024-01-22 15:26:00;ellorrayne.basilio;338;36;9449;36;3;12;B;65;ARAPORA BIO ENERGIA;arogja;MG;SP;2024-01-22;2024-01-22;65;ARAPORA BIO ENERGIA;;;0.00;;2024-01-22;12771;36;1;7767.20;ACUCAR ENSACADO
;;2024-01-22 15:29:00;ellorrayne.basilio;342;36;9463;36;3;12;B;65;ARAPORA BIO ENERGIA;arogja;MG;SP;2024-01-22;2024-01-22;65;ARAPORA BIO ENERGIA;;;0.00;;2024-01-22;12769;36;1;9847.70;ACUCAR ENSACADO
;;2024-01-22 18:48:00;CLEUBER.MARTINS;351;36;9460;36;3;;D;65;ARAPORA BIO ENERGIA;AROGJA;MG;SP;2024-01-22;2024-01-22;65;ARAPORA BIO ENERGIA;;;0.00;;2024-01-22;;;;;
ERRO DO USUÁRIO;11;2024-01-23 11:11:00;ellorrayne.basilio;356;36;9476;36;3;12;C;65;ARAPORA BIO ENERGIA;arogja;MG;SP;2024-01-23;2024-01-26;65;ARAPORA BIO ENERGIA;;;0.00;;2024-01-23;;;;;ACUCAR ENSACADO
ERRO DO USUÁRIO;11;2024-01-23 16:31:00;ellorrayne.basilio;363;36;9483;36;3;12;C;65;ARAPORA BIO ENERGIA;arogja;MG;SP;2024-01-23;2024-01-26;65;ARAPORA BIO ENERGIA;;;0.00;;2024-01-23;;;;;ACUCAR ENSACADO
